objective	booster	eval_metric	nthread	max_depth	eta	gamma	subsample	min_child_weight	colsample_bytree	colsample_bylevel	alpha	lambda	iter	train_auc_mean	train_auc_std	test_auc_mean	test_auc_std
binary:logistic	gbtree	auc	8	5	0.1	0	0.5	5	1	0.65	0	0.05	266	0.848077	6.380250779794471e-4	0.7846076	0.0017376573425284165
binary:logistic	gbtree	auc	8	6	0.1	0	0.5	5	1	0.65	0	0.05	167	0.8549832	0.0011370129990382648	0.7823032	0.001481564092449269
binary:logistic	gbtree	auc	8	5	0.15	0	0.5	5	1	0.65	0	0.05	138	0.8340455999999999	6.956960831355667e-4	0.7821506	0.002068893288692683
binary:logistic	gbtree	auc	8	6	0.15	0	0.5	5	1	0.65	0	0.05	106	0.8482834	0.0015525431523663693	0.778814	0.0018384910116654636
binary:logistic	gbtree	auc	8	5	0.1	0	0.6	5	1	0.65	0	0.05	286	0.853675	5.848634029968956e-4	0.7849584000000001	0.002331466885879763
binary:logistic	gbtree	auc	8	6	0.1	0	0.6	5	1	0.65	0	0.05	198	0.866626	5.128586550157231e-4	0.7837994	0.0021835143782166695
binary:logistic	gbtree	auc	8	5	0.15	0	0.6	5	1	0.65	0	0.05	152	0.8408358	6.662388159453315e-4	0.7831396	0.0017071443524101148
binary:logistic	gbtree	auc	8	6	0.15	0	0.6	5	1	0.65	0	0.05	123	0.858192	0.0011458118519624475	0.7796506	0.0025689036260655423
binary:logistic	gbtree	auc	8	5	0.1	0	0.7	5	1	0.65	0	0.05	351	0.8645562	6.03184018377671e-4	0.7861318	0.0021934161848501913
binary:logistic	gbtree	auc	8	6	0.1	0	0.7	5	1	0.65	0	0.05	251	0.8813922	5.781893808192788e-4	0.78496	0.0016694769240730243
binary:logistic	gbtree	auc	8	5	0.15	0	0.7	5	1	0.65	0	0.05	175	0.8485423999999999	0.0010258696993883413	0.7836188	0.001511021164674608
binary:logistic	gbtree	auc	8	6	0.15	0	0.7	5	1	0.65	0	0.05	124	0.861575	0.0010118323972125136	0.7816514	0.0020565944276758293
binary:logistic	gbtree	auc	8	5	0.1	0	0.5	10	1	0.65	0	0.05	287	0.8475502	3.185136731227798e-4	0.7849342	0.002000467285412118
binary:logistic	gbtree	auc	8	6	0.1	0	0.5	10	1	0.65	0	0.05	199	0.857022	0.0011072575129802804	0.7832768	0.0015073801643787303
binary:logistic	gbtree	auc	8	5	0.15	0	0.5	10	1	0.65	0	0.05	171	0.8403068	8.251747450803243e-4	0.7826377999999999	0.0022057135262832793
binary:logistic	gbtree	auc	8	6	0.15	0	0.5	10	1	0.65	0	0.05	95	0.8383498	8.717902040984818e-4	0.7806082	0.002070162254515568
binary:logistic	gbtree	auc	8	5	0.1	0	0.6	10	1	0.65	0	0.05	325	0.8558722	4.870726435134522e-4	0.7854544	0.0016849528895462316
binary:logistic	gbtree	auc	8	6	0.1	0	0.6	10	1	0.65	0	0.05	196	0.8594412	0.00157836464734524	0.7851714	0.002834503243966451
binary:logistic	gbtree	auc	8	5	0.15	0	0.6	10	1	0.65	0	0.05	155	0.8383084000000001	8.022145847092906e-4	0.7835556	0.001507874610150817
binary:logistic	gbtree	auc	8	6	0.15	0	0.6	10	1	0.65	0	0.05	113	0.8499334	7.430468626064187e-4	0.7819846	0.0023339575488913987
binary:logistic	gbtree	auc	8	5	0.1	0	0.7	10	1	0.65	0	0.05	363	0.8617796	6.013320547618734e-4	0.7869378	0.0018682077400828834
binary:logistic	gbtree	auc	8	6	0.1	0	0.7	10	1	0.65	0	0.05	251	0.8748206000000001	0.001466117403219441	0.7863658	0.0018943934543893392
binary:logistic	gbtree	auc	8	5	0.15	0	0.7	10	1	0.65	0	0.05	174	0.8448686	7.984809578128983e-4	0.7847986	0.0023643564536621627
binary:logistic	gbtree	auc	8	6	0.15	0	0.7	10	1	0.65	0	0.05	139	0.8614634	0.0010264066640756355	0.7821286000000001	0.0019062489448834668
binary:logistic	gbtree	auc	8	5	0.1	0	0.5	20	1	0.65	0	0.05	314	0.8468964	8.554565097288131e-4	0.7856168	0.0016652088637602864
binary:logistic	gbtree	auc	8	6	0.1	0	0.5	20	1	0.65	0	0.05	185	0.8463542	0.0012664731185640854	0.7848044	0.0019095203167568662
binary:logistic	gbtree	auc	8	5	0.15	0	0.5	20	1	0.65	0	0.05	178	0.8366184	7.106480422640365e-4	0.7825782	0.0016588916058321358
binary:logistic	gbtree	auc	8	6	0.15	0	0.5	20	1	0.65	0	0.05	116	0.8406142	0.0010783070806280914	0.7813334	0.0014306075073131782
binary:logistic	gbtree	auc	8	5	0.1	0	0.6	20	1	0.65	0	0.05	289	0.8456448	7.142681289033398e-4	0.7859132	0.0021330931906443904
binary:logistic	gbtree	auc	8	6	0.1	0	0.6	20	1	0.65	0	0.05	196	0.8521458	0.001472654935852626	0.7847428000000001	0.002255734860302591
binary:logistic	gbtree	auc	8	5	0.15	0	0.6	20	1	0.65	0	0.05	192	0.8425462	0.0011540629792072222	0.7833456	0.0016762537516816223
binary:logistic	gbtree	auc	8	6	0.15	0	0.6	20	1	0.65	0	0.05	115	0.8442575999999999	0.0011176036149035018	0.7825466	0.0018150211679163607
binary:logistic	gbtree	auc	8	5	0.1	0	0.7	20	1	0.65	0	0.05	326	0.8517232	6.61973232082765e-4	0.7871474	0.001536062576817848
binary:logistic	gbtree	auc	8	6	0.1	0	0.7	20	1	0.65	0	0.05	289	0.8737946	7.571933967722395e-4	0.7861125999999999	0.0020336074941152142
binary:logistic	gbtree	auc	8	5	0.15	0	0.7	20	1	0.65	0	0.05	199	0.8458756	7.11015217898683e-4	0.7850442	0.0013982697021814319
binary:logistic	gbtree	auc	8	6	0.15	0	0.7	20	1	0.65	0	0.05	141	0.8554116	0.001036491119059068	0.7827536	8.97392801367741e-4
