objective	booster	eval_metric	nthread	max_depth	eta	gamma	subsample	min_child_weight	colsample_bytree	colsample_bylevel	alpha	lambda	iter	train_auc_mean	train_auc_std	test_auc_mean	test_auc_std
binary:logistic	gbtree	auc	8	5	0.05	0.01	0.3	5	0.3	0.3	0	0.05	618	0.8337722	7.462973670659879e-4	0.7840968	0.0021492440903563767
binary:logistic	gbtree	auc	8	6	0.05	0.01	0.3	5	0.3	0.3	0	0.05	593	0.8557562	7.379548496320005e-4	0.7836808	0.001716299088182469
binary:logistic	gbtree	auc	8	7	0.05	0.01	0.3	5	0.3	0.3	0	0.05	393	0.8590314	1.5584684781798196e-4	0.7827488	0.0023710535548583044
binary:logistic	gbtree	auc	8	8	0.05	0.01	0.3	5	0.3	0.3	0	0.05	349	0.876678	5.148860067857462e-4	0.78123	0.001997336926997851
binary:logistic	gbtree	auc	8	9	0.05	0.01	0.3	5	0.3	0.3	0	0.05	309	0.8925904	0.0010336048761549288	0.7810052	0.001963116950168444
binary:logistic	gbtree	auc	8	5	0.1	0.01	0.3	5	0.3	0.3	0	0.05	272	0.825476	7.045744815548785e-4	0.7798568	0.001912160076968822
binary:logistic	gbtree	auc	8	6	0.1	0.01	0.3	5	0.3	0.3	0	0.05	222	0.837094	8.141223494942597e-4	0.7789948	0.002055157551119151
binary:logistic	gbtree	auc	8	7	0.1	0.01	0.3	5	0.3	0.3	0	0.05	139	0.8377365999999999	7.145901203152886e-4	0.7767764	0.0024479108316917443
binary:logistic	gbtree	auc	8	8	0.1	0.01	0.3	5	0.3	0.3	0	0.05	129	0.8536520000000001	7.51308192412259e-4	0.7745064	0.0013454206182135905
binary:logistic	gbtree	auc	8	5	0.2	0	0.5	5	0.3	0.3	0	0.05	110	0.8179024	5.294365305587899e-4	0.7766676	0.0019532340975784387
binary:logistic	gbtree	auc	8	6	0.2	0	0.5	5	0.3	0.3	0	0.05	83	0.8279442	4.4668261664382726e-4	0.7754536	0.0023229239849894
binary:logistic	gbtree	auc	8	7	0.2	0	0.5	5	0.3	0.3	0	0.05	71	0.8421406	9.060429570479241e-4	0.7729354	0.002411939932893645
binary:logistic	gbtree	auc	8	8	0.2	0	0.5	5	0.3	0.3	0	0.05	51	0.8494656	5.558469572755322e-4	0.7690996	0.0021074334722820274
binary:logistic	gbtree	auc	8	5	0.3	0	0.5	5	0.3	0.3	0	0.05	71	0.8125892	0.0011230393403587945	0.7715708	0.0026841325898777947
binary:logistic	gbtree	auc	8	6	0.3	0	0.5	5	0.3	0.3	0	0.05	48	0.8170952	0.0010218806975418372	0.7692556	0.0030410978675185787
binary:logistic	gbtree	auc	8	7	0.3	0	0.5	5	0.3	0.3	0	0.05	43	0.8298446	6.26045557377085e-4	0.7656534	0.0018049454950095727
binary:logistic	gbtree	auc	8	8	0.3	0	0.5	5	0.3	0.3	0	0.05	30	0.8343416	7.770499597255271e-4	0.7602096	0.002265436081621456
binary:logistic	gbtree	auc	8	5	0.1	0	0.7	5	0.3	0.3	0	0.05	495	0.861056	0.0010407381994963236	0.7851764	0.0018171392461642651
binary:logistic	gbtree	auc	8	6	0.1	0	0.7	5	0.3	0.3	0	0.05	320	0.869859	9.357258145048252e-4	0.7840852	0.002334719289322032
